annearn,hrearn,exper,age,depends,married,tenure,educ,nrtheast,nrthcen,south,male,white,union,office,annhrs,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,vacdays,sicklve,insur,pension,annbens,hrbens,annhrssq,beratio,lannhrs,tenuresq,expersq,lannearn,peratio,vserat
15000,7.8099999,14,36,2,1,15,18,1,0,0,1,1,0,1,1920,1,0,0,0,0,0,0,0,0,974.79999,421,617.81,1367.8,3381.4099,1.76,3686400,.2254273,7.560081,225,196,9.6158056,.091186702,.093053304
6500,5,7,23,0,0,8,10,0,0,1,1,1,0,0,1300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1690000,0,7.1701198,64,49,8.7795572,0,0
6908.9902,2.3499999,22,38,3,1,.5,6,0,0,1,1,1,0,0,2940,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8643600,0,7.986165,.25,484,8.840579,0,0
5512.5,4.5,2,18,0,0,.5,12,0,0,1,1,1,0,0,1225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500625,0,7.1106958,.25,4,8.6147738,0,0
7800,3.75,19,35,0,0,2,12,0,0,1,1,0,0,0,2080,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4326400,0,7.6401229,4,361,8.9618788,0,0
9187.5,3.75,24,40,3,1,8,13,1,0,0,1,1,0,0,2450,0,1,0,0,0,0,0,0,0,343.29999,107.93,473.31,503.95999,1428.5,.57999998,6002500,.15548301,7.803843,64,576,9.1255989,.054852799,.049113501
8880,4.6300001,42,58,0,1,8,12,1,0,0,1,1,1,0,1920,0,1,0,0,0,0,0,0,0,343.29999,107.93,473.31,503.95999,1428.5,.74000001,3686400,.16086709,7.560081,64,1764,9.0915565,.056752201,.0508142
8532.6904,3.72,21,37,1,1,.5,13,0,1,0,1,1,0,0,2295,0,1,0,0,0,0,0,0,0,343.29999,107.93,473.31,503.95999,1428.5,.62,5267025,.16741499,7.7384882,.25,441,9.0516596,.059062298,.0528825
8225,5,22,37,5,0,15,10,1,0,0,1,1,1,0,1645,0,1,0,0,0,0,0,0,0,203.39999,84.010002,261.98999,0,549.40002,.33000001,2706025,.066796303,7.4054961,225,484,9.0149336,0,.034943499
8916,4.5500002,40,59,0,1,8,6,0,0,1,1,1,1,0,1960,0,1,0,0,0,0,0,0,0,30.93,0,465.29001,494.64001,990.85999,.50999999,3841600,.1111328,7.5806999,64,1600,9.095603,.055477802,.0034690001
8064,4,8,24,1,0,.5,12,0,1,0,1,1,0,0,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4064256,0,7.608871,.25,64,8.9951649,0,0
11232,4.5,19,39,3,1,2,10,0,0,1,1,1,0,0,2496,0,1,0,0,0,0,0,0,0,0,0,494.75,0,494.75,.2,6230016,.044048298,7.8224449,4,361,9.3265219,0,0
16615.4,8.6499996,35,52,2,1,25,12,0,0,0,1,1,1,0,1920,0,1,0,0,0,0,0,0,0,1302.86,760,1425.51,1190.8,4679.1699,2.4400001,3686400,.28161639,7.560081,625,1225,9.7180853,.071668498,.1241535
12100,6.1700001,30,46,1,1,15,10,0,0,1,1,1,1,0,1960,0,1,0,0,0,0,0,0,0,485.10999,155.11,1300.4,1286.3,3226.9199,1.65,3841600,.2666876,7.5806999,225,900,9.4009609,.1063058,.0529107
18000,5.25,7,23,1,0,2,13,0,0,1,1,1,0,0,3430,0,1,0,0,0,0,0,0,0,485.10999,155.11,1300.4,1286.3,3226.9199,.94,11800000,.17927331,8.140316,4,49,9.7981272,.071461096,.035567801
12862.5,7,40,60,0,1,15,10,1,0,0,1,1,1,0,1837.5,0,1,0,0,0,0,0,0,0,485.10999,155.11,1300.4,1286.3,3226.9199,1.76,3376406,.25087821,7.516161,225,1600,9.4620714,.1000039,.049774099
13739.6,7.0100002,20,39,1,1,2,6,0,0,1,1,1,1,0,1960,0,1,0,0,0,0,0,0,0,485.10999,155.11,1300.4,1286.3,3226.9199,1.65,3841600,.2348627,7.5806999,4,400,9.5280371,.093619898,.046596698
14726.2,5.25,5,21,1,1,2,12,0,0,1,1,1,0,0,2805,0,1,0,0,0,0,0,0,0,430,231,648,0,1309,.47,7868025,.088889197,7.9391589,4,25,9.5973825,0,.044886
12524.4,5.6799998,45,51,0,1,15,10,1,0,0,1,1,0,0,2205,0,1,0,0,0,0,0,0,0,149.99001,0,1153.97,1394.1,2698.0601,1.22,4862025,.2154243,7.698483,225,2025,9.4354343,.1113107,.0119758
21168,7.1999998,7,23,2,1,8,12,0,1,0,1,1,0,0,2940,0,1,0,0,0,0,0,0,0,139.56,0,356.26001,0,495.82001,.17,8643600,.0234231,7.986165,64,49,9.9602461,0,.0065930001
16717.301,7.5100002,40,58,1,1,2,12,0,0,1,1,1,1,0,2226,0,1,0,0,0,0,0,0,0,0,0,819.90002,888.48999,1708.39,.76999998,4955076,.1021929,7.707962,4,1600,9.7241993,.053147901,0
21732.5,11.76,14,34,0,1,2,13,0,0,0,1,1,1,0,1848,0,1,0,0,0,0,0,0,0,0,0,819.90002,888.48999,1708.39,.92000002,3415104,.078609899,7.5218592,4,196,9.9865637,.040883001,0
